top_category_id,bottom_category_id,primary_color_id,secondary_color_id,product_id
8,1279,12,12,661373440
8,6407,2,17,1501009290
6,6404,9,9,1105447030
6,6404,12,12,1140081090
6,6404,1,17,793448890
6,6752,2,17,1595300310
6,6404,5,5,740846880
6,6751,9,9,1564631320
6,6404,2,17,674191380
6,169,4,17,626526370
6,6752,1,17,906513610
6,6410,5,13,1499084300
6,6404,2,17,657171180
6,6308,5,17,1081638470
6,6404,1,17,610825340
3,12437,17,1,1571569740
3,12437,1,1,1579320740
8,517,9,18,1640156890
3,12437,17,17,1610939310
3,12437,12,17,1557979500
6,1259,14,1,635589100
6,6306,0,1,721674090
10,1259,9,17,1287445210
6,1259,1,1,661091940
6,1259,17,17,1001341850
6,1259,1,17,1125954270
6,1259,14,1,1215569110
6,1259,1,2,726991110
8,11650,2,13,1403629960
8,11650,12,12,749115910
8,6921,17,2,1149067270
8,11650,17,17,964247270
8,11650,1,1,1638587590
8,11650,4,17,1276882970
8,11650,1,17,535690040
8,11650,4,17,1518920990
9,1218,16,16,1232124590
9,1223,17,1,1586646850
9,1224,4,17,1267037520
9,1228,16,16,1406304180
9,1219,1,18,1502077970
9,1218,1,17,1621616190
9,1223,17,1,1398006510
9,1686,2,17,868066410
9,1218,2,1,1105953110
9,1224,1,1,190381380
6,6243,1,17,1535753230
6,6243,4,1,928490190
6,6243,4,17,1409289370
6,6243,17,17,1451258210
6,2122,1,1,1601412960
6,6243,1,19,491087920
6,6243,1,17,1411962320
6,6243,12,1,939048100
5,6243,1,1,1367516060
6,6243,1,1,1282327380
6,6243,1,17,1155498840
8,6243,1,1,1080283350
6,6243,1,17,1566387400
6,6243,17,17,1477402640
5,446,1,1,1372363720
5,480,17,13,1224935290
5,447,1,1,1278373730
5,456,14,1,1556011310
5,11173,2,1,1022024700
5,557,1,17,1573050750
5,557,12,12,1147394030
5,2904,1,1,130112700
5,480,4,4,1575290410
5,557,1,9,1527839800
5,557,4,17,1279463410
5,448,17,17,1077720890
8,12396,2,17,609243070
8,12396,2,17,1398220960
8,12396,1,1,1436000310
8,12165,2,1,719170010
8,12396,2,17,1242444210
8,12396,17,1,1089186810
8,12396,1,1,1285733270
8,12396,1,17,1514918460
8,12165,4,4,1559492300
8,12165,1,17,1571408610
8,914,17,17,1534367670
8,12396,1,17,1616118690
8,12396,1,1,1397344260
8,2910,4,1,1642945210
13,1598,16,16,1152066850
13,1597,17,17,1438454910
13,1591,16,16,43109990
13,1598,16,16,1122760200
13,1597,1,17,970599200
13,1598,16,16,693680580
8,6943,16,16,1196157370
6,6943,1,17,931109140
6,6943,0,17,1091199540
6,9339,16,16,806528660
8,6943,1,17,951689810
6,6943,3,5,861907940
6,6943,1,1,1517407010
6,6943,0,17,1019221970
6,6943,1,17,1216246880
6,6943,2,1,956884990
6,6943,14,1,1133557590
6,6943,19,17,1004255980
8,959,1,1,1608749680
8,2288,10,17,1626584260
